Pyridoxal Phosphate	SHMT2|PDXP|SPTLC1|SRR|SPTLC3|MOCOS|NFS1|GPT|SGPL1|OAT|CCBL1|PYGM|FTCD|AADAT|DDC|KYNU|PROSC|SEPSECS|CTH|SHMT1|TAT|PDXDC1|PSAT1|ADC|AGXT2|CBS|ODC1|CSAD|GADL1|GAD1|ABAT|HDC|GLDC|BCAT1|SDS|GPT2|PHYKPL|SPTLC2|GOT2|GOT1|GCAT|CCBL2|THNSL1|ALAS1|PYGB|IGSF10|SCLY|BCAT2|PNPO|SDSL|PYGL|AGXT
Axitinib	FLT4|KDR|FLT1
Lenvatinib	FGFR2|FGFR3|KIT|FLT1|FGFR1|FLT4|KDR|FGFR4
Nintedanib	FGFR2|FGFR3|LYN|FLT3|SRC|FGFR1|FLT1|FLT4|KDR|LCK
Triamterene	SCNN1A|SCNN1D|SCNN1G|SCNN1B
Amiloride	SCNN1G|AOC1|ASIC2|SLC9A1|SCNN1D|ASIC1|SCNN1A|SCNN1B|PLAU
Collagenase clostridium histolyticum	COL1A1|COL3A1|COL2A1|COL1A2
Halofuginone	COL1A1|MMP2
Vindesine	TUBB1
Paclitaxel	NR1I2|MAPT|BCL2|TUBB1|MAP4|MAP2
Docetaxel	NR1I2|MAPT|BCL2|TUBB1|MAP4|MAP2
Colchicine	TUBB1|TUBB
Epothilone D	TUBA3C|TUBA1B|TUBA8|TUBA1C|TUBB4B|TUBB1|TUBB|TUBA4A|TUBB4A|TUBB3|TUBA1A
Epothilone B	TUBA3C|TUBA1B|TUBA8|TUBA1C|TUBB4B|TUBB1|TUBB|TUBA4A|TUBB4A|TUBB3|TUBA1A
E7389	TUBB1|BCL2
CYT997	TUBB2A|TUBB2B|TUBA3C|TUBB6|TUBA1B|TUBA1C|TUBB4B|TUBA3E|TUBB1|TUBB|TUBA4A|TUBB4A|TUBB3|TUBA1A
ZEN-012	TOP2A|TUBB1|TUBB|TOP2B|TUBB4A|TUBB3
Cabazitaxel	TUBB1|TUBA4A
L-Phenylalanine	SLC7A8|FARSA|TH|FARSB|FARS2|TAT|PAH
OSI-930	KIT|FLT1
N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide	FLT1
L-Cystine	CTNS|SLC3A1|SLC7A9|SLC7A11
Riluzole	SCN5A|SLC7A11
Acetylcysteine	GRIN2B|GRIN3A|GSS|GRIN1|GRIN2D|ACY1|IKBKB|CHUK|GRIN2A|SLC7A11
Vitamin A	ALDH1A1|RBP1|RDH14|RETSAT|RDH8|RDH5|RDH12|LRAT|RDH13|ALDH1A3|RDH11|ALDH1A2|RBP3|DHRS3|RLBP1|DHRS4
Insulin Regular	PCSK1|PCSK2|NOV|IGF1R|IDE|IGFBP7|CTSD|RB1|LRP2|SYTL4|INSR|CPE
Insulin Lispro	INSR|IGF1R
Insulin Glargine	INSR|IGF1R
Insulin, porcine	PCSK1|HLA-DQB1|PCSK2|NOV|HLA-DQA2|IGF1R|IDE|IGFBP7|CTSD|RB1|LRP2|SYTL4|INSR|CPE
Mecasermin	IGFBP3|INSR|IGF2R|IGF1R
Insulin Aspart	INSR
Insulin Detemir	INSR
Insulin Glulisine	INSR
Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate	PGK1|KIF1A|ATP2A1|INSR|PDXK
NN344	INSR
AT1391	INSR
RHIIP	INSR
[4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID	MAPK1|INSR|IRS1
Insulin, isophane	INSR
LErafAON	RAF1
XL281	RAF1|BRAF
iCo-007	RAF1
Dabrafenib	LIMK1|SIK1|BRAF|NEK11|RAF1
Lipoic Acid	LIPT1|SLC5A6|LIAS
ART-123	F2|F5
Pyridoxal	PDXK
Pyridoxine	PDXK
O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL	PDXK
N6-METHYL-(R)-ROSCOVITINE, R-2-[6-(BENZYL-METHYL-AMINO)-9-ISOPROPYL-9H-PURIN-2-YLAMINO]-BUTAN-1-OL	PDXK
Bosentan	EDNRA|EDNRB
Sitaxentan	EDNRA|EDNRB
Ambrisentan	EDNRA|EDNRB
MACITENTAN	EDNRA|EDNRB
Cevimeline	CHRM3|CHRM1
Tramadol	HTR2C|SLC6A2|GRIN3A|OPRD1|CHRM3|SLC6A4|OPRK1|OPRM1
Succinylcholine	CHRM3|CHRM1|CHRNA10|CHRM2
Disopyramide	CHRM1|SCN5A|CHRM3|CHRM2|KCND3|KCND2
Amitriptyline	HRH2|HTR1D|HTR1A|HTR1B|NTRK2|SLC6A4|OPRK1|HTR2A|HRH1|SLC6A2|ADRA1D|ADRB1|HTR7|ADRB3|CHRM4|KCND2|HTR2C|ADRA1A|ADRA1B|KCNA1|CHRM3|CHRM5|KCND3|SIGMAR1|NTRK1|KCNQ3|CHRM1|ADRB2|HRH4|OPRD1|OPRM1|ADRA2A|HTR6|CHRM2|KCNQ2
Ipratropium bromide	CHRM3|CHRM1|CHRM2
Metixene	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Terfenadine	CHRM1|CHRM2|KCNH2|CHRM3|CHRM4|CHRM5|HRH1
Trihexyphenidyl	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Oxyphencyclimine	CHRM3|CHRM1|CHRM2
Procyclidine	CHRM2|CHRM3|CHRM1|CHRM4
Hyoscyamine	CHRM2|CHRM3|CHRM1|CHRM4
Cyproheptadine	HTR2C|CHRM1|CHRM3|CHRM2|HTR2A|HRH1
Imipramine	KCNH2|HTR1A|DRD5|SLC6A4|DRD1|HTR2A|HRH1|SLC6A2|ADRA1D|HTR7|CHRM4|KCND2|HTR2C|ADRA1A|ADRA1B|CHRM3|CHRM5|KCND3|DRD2|CHRM1|SLC6A3|HTR6|CHRM2
Methylscopolamine bromide	CHRM3|CHRM1|CHRM2
Darifenacin	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Tridihexethyl	CHRM3|CHRM1|CHRM2
Anisotropine Methylbromide	CHRM3|CHRM1|CHRM2
Nortriptyline	ADRA2C|HTR1A|SLC6A4|HTR2A|HRH1|SLC6A2|ADRA1D|ADRA2B|ADRB1|ADRB3|CHRM4|HTR2C|ADRA1A|ADRA1B|PGRMC1|CHRM3|CHRM5|DRD2|SIGMAR1|CHRM1|ADRB2|ADRA2A|HTR6|CHRM2
Atropine	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Nicardipine	CACNA2D1|CACNA1D|CHRM1|CACNA1C|ADRA1A|CHRM2|ADRA1B|CALM3|PDE1B|CHRM3|ADRA1D|CACNB2|CHRM4|CHRM5|PDE1A
Paroxetine	CHRM1|SLC6A2|CHRM2|CHRM3|SLC6A4|CHRM4|CHRM5|HTR2A
Homatropine Methylbromide	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Diphemanil Methylsulfate	CHRM3
Scopolamine	CHRM1|SI|CHRM3|CHRM2|CHRM5|CHRM4
Benzquinamide	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1
Cryptenamine	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Tropicamide	CHRM2|CHRM3|CHRM1|CHRM4
Brompheniramine	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1
Maprotiline	HTR2C|CHRM1|SLC6A2|ADRA1A|CHRM2|ADRA1B|ADRA2C|CHRM3|ADRA1D|ADRA2A|ADRA2B|CHRM4|HTR7|CHRM5|HTR2A|HRH1|DRD2
Glycopyrrolate	CHRM3|CHRM1|CHRM2
Tolterodine	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Oxybutynin	CHRM3|CHRM1|CHRM2
Promethazine	CHRM1|ADRA1A|CHRM2|CALM3|CHRM3|CHRM4|CHRM5|HTR2A|HRH1|DRD2
Pilocarpine	CHRM3|CHRM1|CHRM2
Doxepin	ADRA2C|HRH2|KCNH2|HTR1A|SLC6A4|HTR2A|HRH1|SLC6A2|ADRA1D|ADRA2B|CHRM4|HTR2C|ADRA1A|ADRA1B|HTR2B|CHRM3|CHRM5|DRD2|CHRM1|HRH4|ADRA2A|HTR6|CHRM2
Desipramine	ADRA2C|HTR1A|SLC6A4|HTR2A|HRH1|SLC6A2|ADRA1D|ADRB1|ADRA2B|CHRM4|HTR2C|ADRA1A|ADRA1B|CHRM3|CHRM5|DRD2|CHRM1|ADRB2|ADRA2A|CHRM2|SMPD1
Mivacurium	CHRM3|CHRNA2|BCHE|CHRM2
Diphenidol	CHRM3|CHRM1|CHRM2
Pancuronium	CHRM3|CHRNA2|CHRM2
Pipecuronium	CHRM3|CHRNA2|CHRM2
Tiotropium	CHRM3|CHRM1|CHRM2
Solifenacin	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Isopropamide	CHRM3|CHRM4
Mepenzolate	CHRM3|CHRM1
Itopride	CHRM3|DRD2
ALKS 27	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Fesoterodine	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Methacholine	CHRM3
Aclidinium	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Umeclidinium	CHRM1|CHRM3|CHRM2|CHRM5|CHRM4
Pyruvic acid	SLC16A3|SLC16A1|PKLR|PKM|SLC16A5|ABAT|SLC16A6|PDHB|SLC16A8|SLC16A7|PC|SLC16A2|AGXT2|SLC16A4
2-Phosphoglycolic Acid	PKLR|PKM|ENO2|TPI1|ENO3
Fructose-1,6-Diphosphate	PKLR
Potassium Chloride	SLC12A2|SLC12A1|SLC12A6|SLC12A7|SLC12A5|SLC12A4
Bumetanide	SLC12A2|SLC12A1|CFTR|SLC12A5|SLC12A4
Lepirudin	F2
Bivalirudin	F2
Menadione	VKORC1L1|F10|F2|F9|GGCX|VKORC1|F7|NQO1|PROZ|NQO2|PROS1|PROC|BGLAP
Argatroban	F2
Proflavine	F2
Beta-(2-Naphthyl)-Alanine	PIN1|YARS|F2
Hemi-Babim	F2|PRSS1
2-(2-Hydroxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine	F2|PRSS1|PLAU
Hirulog	F2
4-Oxo-2-Phenylmethanesulfonyl-Octahydro-Pyrrolo[1,2-a]Pyrazine-6-Carboxylic Acid [1-(N-Hydroxycarbamimidoyl)-Piperidin-4-Ylmethyl]-Amide	F2
4-Iodobenzo[B]Thiophene-2-Carboxamidine	F2|PRSS1|PLAU
CRA_8696	F2|PRSS1|PLAU
Gamma-Carboxy-Glutamic Acid	F10|F2|BGLAP
6-Chloro-2-(2-Hydroxy-Biphenyl-3-Yl)-1h-Indole-5-Carboxamidine	HPN|F2|PRSS1|PLAU
Lysophosphotidylserine	F2
N-{2,2-DIFLUORO-2-[(2R)-PIPERIDIN-2-YL]ETHYL}-2-[2-(1H-1,2,4-TRIAZOL-1-YL)BENZYL][1,3]OXAZOLO[4,5-C]PYRIDIN-4-AMINE	F2
TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE	F2
2-(3-CHLORO-6-{[2,2-DIFLUORO-2-(1-OXIDOPYRIDIN-2-YL)ETHYL]AMINO}-1-OXIDOPYRIDIN-2-YL)-N-[1-(3-CHLOROPHENYL)ETHYL]ACETAMIDE	F2
1-GUANIDINO-4-(N-NITRO-BENZOYLAMINO-L-LEUCYL-L-PROLYLAMINO)BUTANE	F2
1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE	F2
Suramin	F2|PLA2G2A|P2RY2|FSHR|SIRT5|RYR1
Ximelagatran	F2
Dabigatran etexilate	F2
methyl L-phenylalaninate	F2
D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide	F2
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide	F2|PRSS1
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide	F2|PRSS1
N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2|PRSS1
2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE	F2|PLAU
N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2|PRSS1
N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE	F2
6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE	F2
6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2
6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID	F2
N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide	F2
1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE	F2
1-[(2R)-2-aminobutanoyl]-N-(3-chlorobenzyl)-L-prolinamide	F2
D-leucyl-N-(3-chlorobenzyl)-L-prolinamide	F2
D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide	F2
1-butanoyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2
N-(4-carbamimidoylbenzyl)-1-(4-methylpentanoyl)-L-prolinamide	F2
N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide	F2
1-[(2R)-2-aminobutanoyl]-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2
D-leucyl-N-(4-carbamimidoylbenzyl)-L-prolinamide	F2
D-phenylalanyl-N-{4-[amino(iminio)methyl]benzyl}-L-prolinamide	F2
(3R)-8-(dioxidosulfanyl)-3-methyl-1,2,3,4-tetrahydroquinoline	F2
D-phenylalanyl-N-(3-fluorobenzyl)-L-prolinamide	F2
beta-phenyl-D-phenylalanyl-N-propyl-L-prolinamide	F2
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentyloxy)ethanoyl)pyrrolidine-2-carboxamide	F2|PRSS1
(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexyloxy)ethanoyl)pyrrolidine-2-carboxamide	F2|PRSS1
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclopentylpropanoyl)pyrrolidine-2-carboxamide	F2|PRSS1
2-[2-(4-CHLORO-PHENYLSULFANYL)-ACETYLAMINO]-3-(4-GUANIDINO-PHENYL)-PROPIONAMIDE	F2
N4-(N,N-DIPHENYLCARBAMOYL)-AMINOGUANIDINE	F2
N7-BUTYL-N2-(5-CHLORO-2-METHYLPHENYL)-5-METHYL[1,2,4]TRIAZOLO[1,5-A]PYRIMIDINE-2,7-DIAMINE	F2
(S)-N-(4-carbamimidoylbenzyl)-1-(3-cyclohexylpropanoyl)pyrrolidine-2-carboxamide	F2|PRSS1
D-phenylalanyl-N-(3-methylbenzyl)-L-prolinamide	F2
D-phenylalanyl-N-benzyl-L-prolinamide	F2
N-(5-CHLORO-BENZO[B]THIOPHEN-3-YLMETHYL)-2-[6-CHLORO-OXO-3-(2-PYRIDIN-2-YL-ETHYLAMINO)-2H-PYRAZIN-1-YL]-ACETAMIDE	F2
3-cyclohexyl-D-alanyl-N-(3-chlorobenzyl)-L-prolinamide	F2
(2R)-2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}PROPENE-1-SULFONAMIDE	F10|F2
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHANESULFONAMIDE	F10|F2
2-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}ETHENESULFONAMIDE	F10|F2
N-ETHYL-N-ISOPROPYL-3-METHYL-5-{[(2S)-2-(PYRIDIN-4-YLAMINO)PROPYL]OXY}BENZAMIDE	F2
4-(2,5-DIAMINO-5-HYDROXY-PENTYL)-PHENOL	F2
2-[N'-(4-AMINO-BUTYL)-HYDRAZINOCARBONYL]-PYRROLIDINE-1-CARBOXYLIC ACID BENZYL ESTER	F2
5-(DIMETHYLAMINO)-1-NAPHTHALENESULFONIC ACID(DANSYL ACID)	F7|F2
1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE	F2
4-TERT-BUTYLBENZENESULFONIC ACID	F2
3-AMINO-3-BENZYL-9-CARBOXAMIDE[4.3.0]BICYCLO-1,6-DIAZANONAN-2-ONE	F2
4-(5-BENZENESULFONYLAMINO-1-METHYL-1H-BENZOIMIDAZOL-2-YLMETHYL)-BENZAMIDINE	F2
1-(2-{[(6-AMINO-2-METHYLPYRIDIN-3-YL)METHYL]AMINO}ETHYL)-6-CHLORO-3-[(2,2-DIFLUORO-2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL	F2
6-CHLORO-1-(2-{[(5-CHLORO-1-BENZOTHIEN-3-YL)METHYL]AMINO}ETHYL)-3-[(2-PYRIDIN-2-YLETHYL)AMINO]-1,4-DIHYDROPYRAZIN-2-OL	F2
N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]NAPHTHALENE-2-SULFONAMIDE	F2
N-[(2R,3S)-3-AMINO-2-HYDROXY-4-PHENYLBUTYL]-4-METHOXY-2,3,6-TRIMETHYLBENZENESULFONAMIDE	F2
2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-6-PYRIDINYL)METHYL]ACETAMIDE	F2
2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUORO-3-METHYL-6-PYRIDINYL)METHYL]ACETAMIDE	F2
2-(6-CHLORO-3-{[2,2-DIFLUORO-2-(1-OXIDO-2-PYRIDINYL)ETHYL]AMINO}-2-OXO-1(2H)-PYRAZINYL)-N-[(2-FLUOROPHENYL)METHYL]ACETAMIDE	F2
3-(7-DIAMINOMETHYL-NAPHTHALEN-2-YL)-PROPIONIC ACID ETHYL ESTER	F2
AC-(D)PHE-PRO-BOROLYS-OH	F2
AC-(D)PHE-PRO-BOROHOMOLYS-OH	F2
AC-(D)PHE-PRO-BOROHOMOORNITHINE-OH	F2
N-[2-(carbamimidamidooxy)ethyl]-2-{6-cyano-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-2-fluorophenyl}acetamide	F2
3-(4-HYDROXY-PHENYL)PYRUVIC ACID	MIF|F2
4-(1R,3AS,4R,8AS,8BR)-[1-DIFLUOROMETHYL-2-(4-FLUOROBENZYL)-3-OXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZAMIDINE	F2
(3ASR,4RS,8ASR,8BRS)-4-(2-(4-FLUOROBENZYL)-1,3-DIOXODEACAHYDROPYRROLO[3,4-A] PYRROLIZIN-4-YL)BENZAMIDINE	F2
4-({[4-(3-METHYLBENZOYL)PYRIDIN-2-YL]AMINO}METHYL)BENZENECARBOXIMIDAMIDE	F2
1-(HYDROXYMETHYLENEAMINO)-8-HYDROXY-OCTANE	F2
[[CYCLOHEXANESULFONYL-GLYCYL]-3[PYRIDIN-4-YL-AMINOMETHYL]ALANYL]PIPERIDINE	F2
N-{3-METHYL-5-[2-(PYRIDIN-4-YLAMINO)-ETHOXY]-PHENYL}-BENZENESULFONAMIDE	F2
N-[2-({[amino(imino)methyl]amino}oxy)ethyl]-2-{6-chloro-3-[(2,2-difluoro-2-phenylethyl)amino]-2-fluorophenyl}acetamide	F2
4-[3-(4-CHLOROPHENYL)-1H-PYRAZOL-5-YL]PIPERIDINE	F2
3-(4-CHLOROPHENYL)-5-(METHYLTHIO)-4H-1,2,4-TRIAZOLE	F2
{(2S)-1-[N-(tert-butoxycarbonyl)glycyl]pyrrolidin-2-yl}methyl (3-chlorophenyl)acetate	F2
METHYL-PHE-PRO-AMINO-CYCLOHEXYLGLYCINE	F2
2-NAPHTHALENESULFONIC ACID	F2|PRSS1
[PHENYLALANINYL-PROLINYL]-[2-(PYRIDIN-4-YLAMINO)-ETHYL]-AMINE	F2
4-[(3AS,4R,7R,8AS,8BR)-2-(1,3-BENZODIOXOL-5-YLMETHYL)-7-HYDROXY-1,3-DIOXODECAHYDROPYRROLO[3,4-A]PYRROLIZIN-4-YL]BENZENECARBOXIMIDAMIDE	F2
BENZOTHIAZOLE	F2
Aminolevulinic acid	ALAD
Delta-Amino Valeric Acid	GATM|ALAD
Laevulinic Acid	ALAD
4-Oxosebacic Acid	ALAD
Porphobilinogen	ALAD
3-(2-Aminoethyl)-4-(Aminomethyl)Heptanedioic Acid	ALAD
4,7-Dioxosebacic Acid	ALAD
5-hydroxyvaleric acid	ALAD
Trilostane	HSD3B2|ESR1|HSD3B1|ESR2
4-Androstenedione	AKR1C3|HSD17B1|HSD3B1
L-Lysine	SLC7A1|SLC7A2|KARS|SLC7A4|SLC7A3
L-Ornithine	SLC25A2|SLC25A15|SLC7A1|ARG2|SLC7A2|ARG1|OAZ1|SLC7A4|GATM|OTC|OAZ2|OAZ3|OAT|SLC7A3
Glycine	SHMT2|BAAT|GLRA3|SLC6A9|PIPOX|GLRA2|SLC36A1|GRIN3B|ALAS2|GLYATL1|GATM|SHMT1|SLC6A5|GPR18|AGXT2|GLRA1|GARS|SLC32A1|GLRB|GSS|GCSH|GRIN2C|GLDC|GRIN2A|GCAT|GLYATL2|ALAS1|GNMT|GLYAT|AGXT
Lindane	GLRA3|GLRB|GABRB1|GLRA2|GLRA1
Marimastat	MMP15|MMP9|MMP23B|MMP20|MMP11|MMP17|MMP28|MMP7|MMP16|MMP10|MMP13|MMP21|MMP12|MMP26|MMP24|MMP1|MMP14|MMP2|MMP25|MMP3|MMP27|MMP8|MMP19
Minocycline	VEGFA|MMP9|CYCS|ALOX5|CASP1|IL1B|CASP3
Captopril	MMP9|MMP2|LTA4H|ACE
Glucosamine	MMP9|TNF|IFNG|NFKB2
2-Amino-N,3,3-Trimethylbutanamide	MMP9
2-{[Formyl(Hydroxy)Amino]Methyl}-4-Methylpentanoic Acid	MMP9
AE-941	MMP9|MMP2|MMP12
PG-530742	MMP9
5-(4-PHENOXYPHENYL)-5-(4-PYRIMIDIN-2-YLPIPERAZIN-1-YL)PYRIMIDINE-2,4,6(2H,3H)-TRIONE	MMP9
(2R)-2-AMINO-3,3,3-TRIFLUORO-N-HYDROXY-2-{[(4-PHENOXYPHENYL)SULFONYL]METHYL}PROPANAMIDE	MMP9
(3R)-4,4-DIFLUORO-3-[(4-METHOXYPHENYL)SULFONYL]BUTANOIC ACID	MMP9
Vitamin C	DBH|PLOD1|OGFOD1|LEPREL2|P4HTM|BBOX1|PLOD3|P4HA1|PAM|LEPREL1|ALKBH3|SLC23A1|ALKBH2|LEPRE1|TMLHE|KDM5D|EGLN2|OGFOD2|LCT|PHYH|EGLN3|PLOD2|EGLN1
L-Proline	PYCR2|PPIF|P4HA1|PPIA|P4HA2|SLC6A14|SLC6A7|EPRS|PPIH|LEPREL1|PYCRL|PRODH|PYCR1|LEPRE1|PARS2|PPIG|PPIC|L3HYPDH|PPIB|LEPREL2|PROSC
Hydralazine	P4HA1|AOC3
Dronabinol	CNR2|CNR1
Nabilone	CNR2|CNR1
SLV319	CNR1
V24343	CNR1
CP-945598	CNR1
AVE-1625	CNR1
Rimonabant	CNR1
Valsartan	AGTR1
Olmesartan	AGTR1
Losartan	AGTR1
Candesartan	AGTR1
Eprosartan	AGTR1
Telmisartan	PPARG|AGTR1
Irbesartan	JUN|AGTR1
Forasartan	AGTR1
Saprisartan	AGTR1
Tasosartan	AGTR2|AGTR1
CYT006-AngQb	AGTR2|AGTR1
Azilsartan medoxomil	AGTR1
L-Serine	SPTLC2|CBS|SPTLC1|SARS|SRR|SDS|AGXT
Bupivacaine	PTGER1|SCN10A
Carboprost Tromethamine	PTGER1
Alprostadil	PTGER1|PTGER2
Bimatoprost	PTGER1|PTGFR|PTGER3|AKR1C3
Dinoprostone	PTGER1|PTGER2|PTGER3|PTGER4
Iloprost	PTGER1|PDE4D|PTGIR|PDE4C|PDE4A|PLAT|PDE4B
Radicicol	HSP90B1|DLAT|HSP90AB1|PDK3
Dihydrolipoic Acid	GCSH|DLAT|PDK3
Rituximab	C1QB|FCGR1A|C1QC|C1QA|FCGR3B|MS4A1|C1R|C1S|FCGR2A|FCGR2B|FCGR3A
Ibritumomab	C1QB|FCGR1A|C1QC|C1QA|FCGR3B|MS4A1|C1R|C1S|FCGR2A|FCGR2B|FCGR3A
Tositumomab	C1QB|FCGR1A|C1QC|C1QA|FCGR3B|MS4A1|C1R|FCGR2A|FCGR2B|FCGR3A
Ofatumumab	MS4A1
Obinutuzumab	MS4A1
L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide	NOS3|NOS1
Formic Acid	CYTH2|FGF1|CTBP1|RNASE1|CA2|ACYP2|NOS1|PVALB|HMOX1|GGACT|CASK|GPHN
N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine	NOS3|NOS1
L-N(Omega)-Nitroarginine-(4r)-Amino-L-Proline Amide	NOS3|NOS1
N-Isopropyl-N'-Hydroxyguanidine	NOS1
N-Butyl-N'-Hydroxyguanidine	NOS1
S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea	NOS1
Flavin adenine dinucleotide	MAOA|GCDH|TXNRD1|DAO|ERO1LB|CYB5R1|NQO1|MAOB|NQO2|CYB5R3|GFER|ACADS|POR|GSR|ACOX1|NOS1|FDXR|IVD|AIFM1|DPYD|ACADM|ACAD8|IL4I1|DLD|XDH
Riboflavin Monophosphate	POR|RFK|HAO1|NOS1|DHODH|HAO2|RPS6KA4|SGK1|PPCDC|BLVRB|PNPO|DPYD
S-Ethyl-N-Phenyl-Isothiourea	NOS3|NOS1
N5-(1-Imino-3-Butenyl)-L-Ornithine	NOS1
5-N-Allyl-Arginine	NOS1
Nitroarginine	NOS3|NOS1
NXN-188	HTR1B|HTR1D|NOS1
N-{(3S,4S)-4-[(6-AMINO-4-METHYLPYRIDIN-2-YL)METHYL]PYRROLIDIN-3-YL}-N'-(4-CHLOROBENZYL)ETHANE-1,2-DIAMINE	NOS3|NOS1
N-{(3R,4S)-4-[(6-amino-4-methylpyridin-2-yl)methyl]pyrrolidin-3-yl}-N'-(3-chlorobenzyl)ethane-1,2-diamine	NOS3|NOS1
4-Hydroxy-1,2,5-Oxadiazole-3-Carboxylic Acid	LDHB
Oxamic Acid	LDHA|LDHB
Clofibrate	PPARA
Fenofibrate	PPARA
Gemfibrozil	PPARA
Bezafibrate	PPARA|PPARG|PPARD
